IAT	TA	TB
8.1138	3.3391	4.1216
0.3286	2.0783	4.0480
3.3862	3.5948	4.0136
3.3213	3.2939	4.0127
0.7265	2.9945	3.9357
0.0182	4.0831	3.8356
1.7818	3.6126	3.8473
0.2322	3.7366	4.0819
0.9423	4.1879	3.8364
6.5072	2.9853	4.4091
3.1640	3.4006	4.4369
1.8351	2.9168	4.2582
2.2726	2.8782	4.7481
4.1372	3.0824	4.1840
0.3523	3.7111	4.0078
0.9297	3.4809	3.8861
2.1592	3.9178	5.0704
3.1549	2.3122	4.4075
0.7603	2.4635	4.0773
3.1104	3.5052	3.5677
1.8606	3.4863	4.2948
0.1362	2.9184	4.3771
1.2090	3.2389	4.4794
2.1958	3.5758	3.9759
1.2224	3.6617	4.0718
2.5309	2.7525	3.4777
2.2922	3.4657	4.2917
0.0937	2.8336	4.1457
3.0575	2.9298	3.6774
2.9933	3.4887	4.1970
1.2342	3.0338	3.6396
1.3275	4.0498	4.6541
2.3075	3.9306	3.7521
0.0111	2.4310	4.4018
1.2536	1.8099	3.4718
0.8281	3.1545	4.1302
6.5932	3.0290	3.9705
5.0424	2.5740	4.6378
0.1855	2.1726	4.9207
1.9163	3.2988	5.0186
0.3247	3.4402	5.1526
6.3179	2.8370	4.5251
1.1859	3.7539	5.1533
3.0495	2.4382	4.5972
0.3165	3.7154	3.5781
0.2003	3.2436	4.5491
1.4971	2.9820	4.5158
8.5498	2.4504	4.1394
0.3817	3.1696	4.6483
1.1630	3.7250	4.1382
0.9304	2.6686	4.8916
0.3230	3.4042	3.7791
2.5265	4.2225	4.7577
0.2161	3.3700	4.6849
0.8816	2.8112	4.3997
0.6721	3.3792	3.5874
0.0062	2.7444	3.3504
4.0588	3.3006	4.3293
3.6497	3.6533	3.9840
7.0969	3.1975	4.1547
5.6600	3.9847	3.1537
2.1251	3.4235	3.9312
0.9226	3.3105	5.3027
0.8154	3.7380	5.1949
6.2103	3.8858	4.3069
1.9273	3.1914	4.4792
1.1726	3.8567	4.2140
1.7429	3.0464	4.7554
0.4676	2.7319	4.6129
3.6769	4.1159	4.5092
0.3677	3.0871	4.2378
2.2573	2.6005	4.4828
4.1137	2.9552	4.3672
0.0372	3.6386	4.2023
1.6823	3.3268	4.6051
4.1140	4.2451	4.7810
0.4377	3.0860	4.6088
0.6616	3.1732	3.7715
11.2189	3.6988	5.6058
2.5962	4.1511	4.3815
0.5889	2.6872	3.3750
1.7877	3.1997	4.7381
1.7855	3.8779	3.8515
4.0790	3.3060	4.1825
3.3409	2.3354	3.7869
2.7204	3.4669	5.0000
0.6582	3.7061	4.7278
0.4179	2.8913	4.0625
1.5035	3.1111	4.1423
0.1235	3.7682	3.8768
0.0698	3.9989	2.7817
3.9317	3.9629	4.9388
0.7209	3.6667	4.1964
1.9858	3.3152	3.6911
2.7173	3.3038	3.7581
0.1717	3.4336	3.8560
4.7684	3.3136	4.1637
0.9463	3.2584	3.6966
1.1099	3.3522	4.0644
0.5103	3.8770	3.7718
0.4154	3.2556	3.5720
0.1688	3.3993	4.2415
3.1397	3.0927	4.3349
1.0474	3.6957	3.8682
1.8354	2.8848	3.7876
1.3640	3.1982	3.3252
4.6617	3.8020	3.6785
4.5626	3.5108	3.8860
9.2555	3.0748	4.1404
1.1751	3.6448	4.7445
6.7543	2.8485	4.7131
1.6807	3.0035	3.5986
0.7027	3.9745	4.7642
0.0007	3.3530	4.6532
3.7497	3.1464	4.5332
5.0327	2.9774	5.3870
1.8129	3.4643	4.2342
1.6115	3.3842	3.6000
0.8404	3.7341	3.5487
1.1282	2.7093	3.1251
2.1132	2.8227	3.7438
2.1770	3.1952	4.6339
0.1829	2.7491	4.1177
1.1928	2.9673	4.4608
2.3583	3.1867	3.9921
0.7031	3.6741	4.1615
1.5775	4.5589	4.6970
0.2914	3.4898	4.6578
0.1801	2.4703	4.3756
0.7977	2.8754	3.9900
1.3764	3.5510	4.2937
9.2682	3.9785	5.0589
0.1331	3.6990	4.4079
2.3154	4.0084	3.2639
4.1536	4.1878	3.8592
4.6401	2.8077	4.3051
0.3040	3.9982	4.2145
1.6324	3.5832	3.7123
0.9634	4.1273	4.5606
1.6801	3.0896	4.5673
0.1155	2.9986	5.0022
1.4903	2.2269	3.3564
2.3406	3.2843	4.6653
0.0643	3.0224	5.3853
0.7112	3.6103	4.5486
3.6099	2.5462	4.9556
0.2648	4.3426	4.8383
0.3936	3.6598	4.6400
0.7073	3.1067	3.2944
11.1910	3.9453	2.6658
7.1194	2.6647	3.9881
2.2857	3.6452	3.5738
1.6692	2.1542	4.2738
4.6781	2.8332	3.7051
0.9794	2.9274	4.4392
2.5129	3.2313	4.1480
2.2811	3.1494	4.2879
1.7996	3.5008	3.6281
0.0354	4.0907	5.0055
1.9100	3.1584	4.1255
0.8303	3.1967	4.1198
0.5247	2.5899	4.2963
3.0854	3.1123	4.5938
0.8737	2.8044	5.0565
11.6809	2.6436	5.0311
8.7615	2.5245	4.6868
1.7276	3.3703	4.3135
2.1655	3.5768	4.3932
0.4674	3.6560	5.0446
3.9509	4.0959	4.0928
2.1080	2.5997	4.0609
0.0231	3.2700	5.8788
0.3129	3.0503	4.4035
1.9510	4.0660	5.0297
2.5182	2.7180	3.7089
0.3073	3.8622	4.8855
0.9607	3.9347	4.3402
0.0245	4.1773	4.4716
2.5147	3.3691	4.5781
7.4896	3.6384	4.1845
0.7762	3.1893	4.1475
1.1688	3.4448	4.2398
2.5219	2.8297	3.1142
2.0223	4.0878	4.5995
0.5936	2.4634	4.5436
4.4447	2.1975	3.7908
1.1278	3.4088	4.3967
3.1582	2.3940	4.7803
1.0063	3.4940	4.4857
0.2964	3.3192	4.2488
0.5960	3.6929	4.4373
1.4974	3.0977	3.8404
7.1389	3.4442	3.3567
3.0698	2.8110	3.7847
5.8622	3.0658	4.1755
0.3062	2.9100	3.9586
1.9524	3.0738	3.2702
2.1895	3.1286	3.6633
0.1809	2.8082	4.3820
0.7273	3.5097	4.0268
0.0475	3.3179	4.8453
