dt_min	ts_min
2.5637	15.8973
6.7377	33.4473
2.6101	23.7805
0.6545	29.2903
8.0747	21.2595
1.7465	33.3058
11.7175	25.8459
0.2521	22.0902
0.4834	34.1964
2.7806	26.6432
2.7759	15.8663
0.4181	18.9157
0.4869	19.2612
0.1888	33.8557
0.9219	34.6096
0.8297	24.4647
4.8991	31.2209
7.3481	16.7993
13.6688	29.8552
0.7074	20.8335
1.1680	19.7467
5.5323	25.5673
7.1105	24.2613
0.7311	19.2097
2.6940	21.9456
10.1897	32.7084
0.8924	32.5191
0.0483	16.0579
2.9657	25.7292
2.4453	34.3413
9.4266	24.7264
3.3653	16.7262
10.1458	34.4320
3.6111	21.3933
4.2935	16.3652
4.1280	21.3759
2.5541	26.6032
2.0393	30.1414
2.4393	16.6336
7.0476	32.9821
1.7679	31.8053
2.7048	19.0806
4.8007	23.3111
0.3266	20.8249
0.3932	15.9731
0.0631	16.9761
6.6080	29.7166
0.5472	25.6227
5.7025	28.6904
8.9165	28.9744
1.0685	33.2254
6.0089	15.3266
0.8036	19.7462
4.0913	15.9742
6.9641	25.0108
2.5442	30.1797
1.9869	25.4597
0.1078	16.1255
6.7740	23.0453
0.6660	16.8707
7.6039	17.5081
3.0586	22.8828
1.9353	24.7416
1.7423	32.7069
13.3558	32.7197
0.4500	20.4405
3.9620	15.7938
9.4061	32.9475
4.7331	21.3774
0.0182	15.4297
0.2341	21.4879
0.5751	22.5946
2.1237	24.6197
4.6558	33.4432
0.9094	28.8436
0.3096	27.0853
4.4348	28.8848
0.9710	29.9306
7.1739	17.4384
2.2060	28.8927
0.0022	15.7821
6.8683	32.1636
4.4859	24.0100
7.9506	22.9470
1.5769	20.8037
2.3810	30.5359
4.2239	28.2218
2.0115	33.7167
1.9300	15.7397
2.5512	24.7885
0.8906	18.3132
6.7179	25.0578
0.1120	15.1047
4.5984	17.8815
0.4822	34.8267
0.0977	22.3760
1.7098	17.2920
2.2414	15.1676
0.8099	28.3645
4.8708	25.8413
3.5917	19.2482
1.5104	23.0448
5.0283	26.0742
7.3792	31.4939
8.8201	17.2172
11.2228	31.1671
4.1323	31.1456
1.1250	22.9099
2.6234	25.6225
3.4221	19.0275
10.8037	27.1577
4.0147	22.2591
3.0494	25.7890
8.0475	28.0499
2.1604	15.1386
8.8086	19.6486
6.5390	32.6002
2.2954	31.3016
0.0705	20.3457
2.3762	21.5988
0.5465	20.9165
1.9195	16.3197
1.2821	32.6381
3.0699	31.9914
0.1593	17.5303
1.8447	15.6657
4.1300	34.0444
5.6329	20.7355
0.4258	24.2228
0.8375	24.5409
4.0253	16.4943
5.7386	28.4371
8.8622	19.3345
0.3065	17.5589
1.2242	28.8657
2.7308	20.6195
5.3162	31.1820
0.7882	17.1654
0.5227	26.6791
5.1320	19.9200
3.2230	31.6436
0.5672	23.2235
0.9392	31.8782
0.6541	32.0636
5.8577	28.2383
16.5256	33.9663
1.6375	22.2789
0.7940	30.8557
3.3829	33.1785
2.1071	17.2474
3.6132	29.3281
11.7096	22.6721
2.4696	23.0493
1.7547	26.2436
5.5734	27.3025
10.2930	22.4183
3.0266	25.4729
9.7027	25.3777
2.6270	20.3191
0.6360	31.6499
6.7792	29.5638
7.7394	31.0704
6.1386	29.6251
7.7352	17.8016
2.0688	31.2794
0.8328	20.9854
1.6206	27.8573
0.5165	29.3627
0.4289	18.9977
13.7169	33.5017
1.9395	34.4568
4.8945	33.9684
3.4590	22.8430
0.5411	25.6451
3.6083	28.3174
2.6369	17.0909
4.0341	18.9379
3.8948	21.0837
4.7536	32.6807
2.5728	33.4209
2.7243	15.2882
6.3893	15.4091
0.4027	25.2510
2.8100	22.1809
0.0117	15.8124
6.4541	23.6152
16.5581	34.8989
2.9339	26.9852
1.8169	27.7580
0.1104	28.6561
0.9701	18.4907
7.5306	29.0971
3.2766	26.4165
1.6016	23.5767
4.7031	30.6863
2.5592	32.4044
0.3569	19.5094
0.3209	29.5447
10.9515	18.8065
